Survived;Pclass;Name;Sex;Age;SibSp;Parch;Ticket;Fare;Cabin;Embarked
1;3;Sandstrom, Miss. Marguerite Rut;female;4.0;1;1;PP 9549;16.7;G6;S
0;3;Palsson, Miss. Torborg Danira;female;8.0;3;1;349909;21.075;;S
1;2;Laroche, Miss. Simonne Marie Anne Andree;female;3.0;1;2;SC/Paris 2123;41.5792;;C
1;2;West, Miss. Constance Mirium;female;5.0;1;2;C.A. 34651;27.75;;S
0;3;Andersson, Miss. Ellis Anna Maria;female;2.0;4;2;347082;31.275;;S
0;3;"Ford, Miss. Robina Maggie ""Ruby""";female;9.0;2;2;W./C. 6608;34.375;;S
1;3;Johnson, Miss. Eleanor Ileen;female;1.0;1;1;347742;11.1333;;S
1;3;Kink-Heilmann, Miss. Luise Gretchen;female;4.0;0;2;315153;22.025;;S
0;3;Strom, Miss. Telma Matilda;female;2.0;0;1;347054;10.4625;G6;S
1;3;Asplund, Miss. Lillian Gertrud;female;5.0;4;2;347077;31.3875;;S
1;2;"Collyer, Miss. Marjorie ""Lottie""";female;8.0;0;2;C.A. 31921;26.25;;S
0;1;Allison, Miss. Helen Loraine;female;2.0;1;2;113781;151.55;C22 C26;S
0;3;Palsson, Miss. Stina Viola;female;3.0;3;1;349909;21.075;;S
1;3;"Nakid, Miss. Maria (""Mary"")";female;1.0;0;2;2653;15.7417;;C
0;3;Van Impe, Miss. Catharina;female;10.0;0;2;345773;24.15;;S
1;3;Baclini, Miss. Marie Catherine;female;5.0;2;1;2666;19.2583;;C
1;3;Baclini, Miss. Helene Barbara;female;0.75;2;1;2666;19.2583;;C
1;3;Hirvonen, Miss. Hildur E;female;2.0;0;1;3101298;12.2875;;S
1;2;Quick, Miss. Phyllis May;female;2.0;1;1;26360;26.0;;S
1;2;Hart, Miss. Eva Miriam;female;7.0;0;2;F.C.C. 13529;26.25;;S
0;3;Andersson, Miss. Ingeborg Constanzia;female;9.0;4;2;347082;31.275;;S
0;3;Andersson, Miss. Sigrid Elisabeth;female;11.0;4;2;347082;31.275;;S
1;2;Becker, Miss. Marion Louise;female;4.0;2;1;230136;39.0;F4;S
0;3;Skoog, Miss. Mabel;female;9.0;3;2;347088;27.9;;S
0;3;Skoog, Miss. Margit Elizabeth;female;2.0;3;2;347088;27.9;;S
1;3;Baclini, Miss. Eugenie;female;0.75;2;1;2666;19.2583;;C
1;3;Karun, Miss. Manca;female;4.0;0;1;349256;13.4167;;C
1;2;"Harper, Miss. Annie Jessie ""Nina""";female;6.0;0;1;248727;33.0;;S
1;2;Wells, Miss. Joan;female;4.0;1;1;29103;23.0;;S
1;3;Emanuel, Miss. Virginia Ethel;female;5.0;0;0;364516;12.475;;S
0;3;Andersson, Miss. Ebba Iris Alfrida;female;6.0;4;2;347082;31.275;;S
0;3;Boulos, Miss. Nourelain;female;9.0;1;1;2678;15.2458;;C
